"","geoid","name","population","total_race","white","black","hispanic","mean_commute","total_edu","bachelors","graduate","poverty","median_income","gini","median_rent","median_home_value","total_employed","agriculture","construction","manufacturing","retail","information","finance","data_center","n_data_centers","pair_id","group","pop_diff","treated_geoid"
"128","37183","Wake County, North Carolina",1132103,1132103,692488,222729,117995,459534,764919,258183,123119,90909,96734,0.4505,1412,385700,601289,1977,1258,719,30016,36214,9748,1,4,"37183","treated",NA,NA
"129","39017","Butler County, Ohio",388327,388327,311138,32073,20213,164155,250309,51348,20831,44672,77062,0.4392,1048,224300,186002,575,367,208,9818,22466,2940,1,2,"39017","treated",NA,NA
"130","39023","Clark County, Ohio",135877,135877,115436,11031,5113,55167,93613,10887,5351,20647,58954,0.4225,820,144900,60332,515,420,95,3257,7874,1432,1,1,"39023","treated",NA,NA
"131","39035","Cuyahoga County, Ohio",1256620,1256620,751741,365216,81987,524301,889511,180290,88888,203273,60074,0.508,952,168700,605214,919,664,255,23888,50048,11301,1,3,"39035","treated",NA,NA
"132","39041","Delaware County, Ohio",216074,216074,179350,8523,6294,88370,143354,49877,23892,9668,123995,0.4143,1338,393000,114307,439,315,124,3960,8242,2107,1,1,"39041","treated",NA,NA
"133","39045","Fairfield County, Ohio",159371,159371,133707,13477,4013,68911,107962,22057,9093,13579,82969,0.4209,1042,247800,78317,452,375,77,4945,5102,1526,1,1,"39045","treated",NA,NA
"134","39049","Franklin County, Ohio",1318149,1318149,819022,302564,79457,583779,884031,226726,99691,187488,71070,0.4671,1169,243100,694653,951,795,156,27473,37336,11959,1,22,"39049","treated",NA,NA
"135","39061","Hamilton County, Ohio",827671,827671,541412,210353,31018,359960,560476,135727,62633,120457,68249,0.5052,961,205000,416219,761,543,218,17217,33377,7396,1,2,"39061","treated",NA,NA
"136","39089","Licking County, Ohio",178844,178844,157835,7361,4001,75190,121399,24104,9676,17152,78505,0.4476,960,232200,86878,716,659,57,4536,7157,1045,1,16,"39089","treated",NA,NA
"137","39099","Mahoning County, Ohio",227979,227979,174852,32671,14922,93579,162714,27175,11773,39017,54279,0.4692,753,132000,103872,286,246,40,6274,9761,2018,1,1,"39099","treated",NA,NA
"138","39153","Summit County, Ohio",539361,539361,409561,75371,13165,236253,381738,83276,35556,65839,68360,0.4781,956,182500,270271,662,441,221,13528,29479,5498,1,1,"39153","treated",NA,NA
"139","39159","Union County, Ohio",63411,63411,55745,1581,1443,25963,43037,11101,4345,3131,104496,0.4126,1144,282900,32749,502,479,23,1484,3875,667,1,4,"39159","treated",NA,NA
"140","39165","Warren County, Ohio",243189,243189,207082,8505,7597,102762,164904,44054,22982,12120,103128,0.4333,1254,290900,121923,331,259,72,5175,15043,2181,1,2,"39165","treated",NA,NA
"141","40013","Bryan County, Oklahoma",46528,46528,33332,1010,3199,18883,31086,4972,1867,7399,54289,0.4626,877,151500,20502,572,293,279,1237,1500,273,1,1,"40013","treated",NA,NA
"142","40109","Oklahoma County, Oklahoma",795822,795822,497026,117074,145768,350128,519228,112085,44429,123243,62505,0.491,1008,190500,381875,7673,1599,6074,25241,17780,6611,1,1,"40109","treated",NA,NA
"143","40143","Tulsa County, Oklahoma",668923,668923,436958,66006,91419,290410,439813,95513,34456,94860,65229,0.4861,1002,196300,323969,4539,1181,3358,19558,26951,6260,1,2,"40143","treated",NA,NA
"144","41005","Clackamas County, Oregon",420925,420925,346783,3665,39282,169873,300373,75770,28865,31670,95740,0.4496,1605,532200,206612,2736,2461,275,15313,17060,4855,1,1,"41005","treated",NA,NA
"145","41013","Crook County, Oregon",24987,24987,22504,79,2005,9894,18626,2726,870,1965,74969,0.4092,1129,368200,11300,518,507,11,1204,669,83,1,13,"41013","treated",NA,NA
"146","41017","Deschutes County, Oregon",199352,199352,178997,830,16887,79320,147063,36988,16216,18052,82042,0.461,1550,526200,98636,1580,1548,32,7618,4993,1839,1,1,"41017","treated",NA,NA
"147","41033","Josephine County, Oregon",87994,87994,78007,498,7143,29291,65703,7812,3301,13981,56068,0.4716,1093,353800,33481,871,854,17,1861,2616,344,1,1,"41033","treated",NA,NA
"148","41039","Lane County, Oregon",382218,382218,318993,4046,36603,156747,264813,51671,24344,60298,65157,0.4632,1210,363800,181673,2909,2777,132,11002,14117,3695,1,1,"41039","treated",NA,NA
"149","41047","Marion County, Oregon",345815,345815,247492,4143,96270,139332,230076,37530,14874,43663,70926,0.4289,1228,352500,158165,5519,5422,97,12634,11723,2839,1,2,"41047","treated",NA,NA
"150","41049","Morrow County, Oregon",12140,12140,8492,81,4651,4655,7712,547,258,2020,64975,0.4416,837,213900,5141,726,726,0,254,471,45,1,23,"41049","treated",NA,NA
"151","41051","Multnomah County, Oregon",808098,808098,585219,43931,99498,349984,598188,171363,76500,96850,83668,0.4729,1515,492100,448256,2336,2201,135,19545,28756,7680,1,2,"41051","treated",NA,NA
"152","41059","Umatilla County, Oregon",79904,79904,60983,612,22413,31644,52883,6067,2827,8868,70322,0.4128,930,236800,33979,1987,1943,44,1899,2170,458,1,25,"41059","treated",NA,NA
"153","41065","Wasco County, Oregon",26639,26639,21820,82,5309,10740,18770,2493,989,3049,61316,0.483,925,298200,11870,899,874,25,705,719,189,1,2,"41065","treated",NA,NA
"154","41067","Washington County, Oregon",599541,599541,412135,13785,104252,253561,417204,116615,52344,48495,100121,0.4303,1695,504300,316457,2411,2379,32,15995,39217,6781,1,23,"41067","treated",NA,NA
"155","42003","Allegheny County, Pennsylvania",1245310,1245310,969070,158051,29272,528444,902730,229538,114694,134587,72537,0.4835,1050,200200,640039,2038,736,1302,29149,36387,10395,1,2,"42003","treated",NA,NA
"156","42077","Lehigh County, Pennsylvania",374110,374110,259995,26088,101726,161253,255117,50875,22231,43587,74973,0.4614,1259,254500,183365,548,487,61,8284,17519,4791,1,2,"42077","treated",NA,NA
"157","42091","Montgomery County, Pennsylvania",856399,856399,650218,78309,48524,363949,603213,174882,93354,52365,107441,0.4694,1514,382300,451495,995,694,301,21867,35221,7789,1,2,"42091","treated",NA,NA
"158","42101","Philadelphia County, Pennsylvania",1593208,1593208,590860,638907,249723,618236,1090012,204967,107311,351811,57537,0.5178,1250,215500,736737,1372,1047,325,27343,30862,9338,1,1,"42101","treated",NA,NA
"159","45003","Aiken County, South Carolina",169865,169865,114221,42219,10466,68104,120157,22589,9736,23653,63212,0.454,973,181800,74124,756,488,268,4527,8448,879,1,1,"45003","treated",NA,NA
"160","45015","Berkeley County, South Carolina",231419,231419,148806,54006,16866,104080,154846,28413,12494,24818,77874,0.4299,1410,253100,108726,423,398,25,8057,10316,1611,1,10,"45015","treated",NA,NA
"161","45051","Horry County, South Carolina",356578,356578,282022,44046,22350,138854,266541,43751,17456,45882,59880,0.4476,1128,235000,154728,461,423,38,12609,4628,1999,1,1,"45051","treated",NA,NA
"162","46099","Minnehaha County, South Dakota",197742,197742,162678,12350,11009,99624,130706,31242,9808,16775,73110,0.4288,927,246200,110635,1245,1120,125,7809,9019,2712,1,1,"46099","treated",NA,NA
"163","47037","Davidson County, Tennessee",709786,709786,423888,186862,75237,329878,495381,140915,56603,98696,71863,0.4944,1394,354700,396132,622,607,15,21551,18447,6069,1,3,"47037","treated",NA,NA
"164","47057","Grainger County, Tennessee",23648,23648,22665,320,862,8721,17170,1377,778,4118,47098,0.4852,648,151200,9746,178,145,33,914,1289,193,1,1,"47057","treated",NA,NA
"165","47125","Montgomery County, Tennessee",222305,222305,145652,44841,23819,97959,137996,26757,11880,25950,67890,0.4041,1128,226400,94591,273,187,86,5557,8337,1410,1,4,"47125","treated",NA,NA
"166","47145","Roane County, Tennessee",53777,53777,49424,1450,1201,21204,39812,5161,2506,6466,66460,0.467,753,193400,23668,100,57,43,1536,1939,349,1,1,"47145","treated",NA,NA
"167","47165","Sumner County, Tennessee",196845,196845,162426,16573,11143,86129,135793,28742,10058,18315,81883,0.4334,1245,332700,99744,377,361,16,6538,7325,2369,1,4,"47165","treated",NA,NA
"168","47187","Williamson County, Tennessee",248897,248897,210242,9729,12682,97648,163046,63976,26533,10337,125943,0.4468,1817,611100,127487,313,280,33,5102,6902,2762,1,4,"47187","treated",NA,NA
"169","48029","Bexar County, Texas",2014059,2014059,1150364,153125,1229072,857908,1297977,244258,107776,299972,67275,0.4641,1212,222300,957948,7952,1407,6545,71287,37768,15296,1,27,"48029","treated",NA,NA
"170","48085","Collin County, Texas",1079153,1079153,646170,112804,168844,438712,711181,240100,114983,67718,113255,0.4332,1689,411100,565939,3070,900,2170,24926,32550,10543,1,11,"48085","treated",NA,NA
"171","48113","Dallas County, Texas",2604053,2604053,1208531,585997,1066429,1142271,1681632,353037,154247,359882,70732,0.4923,1374,252200,1319521,5835,1374,4461,127490,71714,25907,1,15,"48113","treated",NA,NA
"172","48121","Denton County, Texas",914870,914870,591538,95197,180694,402244,611044,193763,79113,66977,104180,0.4345,1496,377000,501458,2801,945,1856,25334,28624,10313,1,2,"48121","treated",NA,NA
"173","48139","Ellis County, Texas",195509,195509,135604,24584,53807,88749,125963,24046,9210,15850,93248,0.4014,1345,275800,99369,1099,454,645,7943,9633,2132,1,7,"48139","treated",NA,NA
"174","48201","Harris County, Texas",4726177,4726177,2175176,893393,2076103,2021348,3032681,629798,258583,737681,70789,0.4973,1269,235300,2285175,44256,3451,40805,217744,158517,48563,1,6,"48201","treated",NA,NA
"175","48325","Medina County, Texas",51432,51432,35904,1285,27313,19764,34739,4622,2668,5045,73060,0.422,1038,186200,22289,896,321,575,2031,1130,283,1,1,"48325","treated",NA,NA
"176","48339","Montgomery County, Texas",629989,629989,474627,35254,162783,260350,412475,102960,38603,55202,95946,0.4706,1416,293500,301015,10485,498,9987,24837,19821,7669,1,2,"48339","treated",NA,NA
"177","48439","Tarrant County, Texas",2113854,2113854,1178474,364924,630175,928400,1365169,305663,120073,229643,78872,0.4565,1352,269400,1065717,6362,1137,5225,75516,78420,21686,1,7,"48439","treated",NA,NA
"178","48453","Travis County, Texas",1289054,1289054,813829,107055,429581,558573,901585,301552,131365,142451,92731,0.4772,1561,444800,736834,3239,881,2358,42276,38553,10245,1,14,"48453","treated",NA,NA
"179","49035","Salt Lake County, Utah",1180643,1180643,880344,21531,225177,524533,754424,182997,71199,94306,90011,0.4295,1394,440400,629317,3586,1137,2449,44000,41350,10861,1,6,"49035","treated",NA,NA
"180","49049","Utah County, Utah",666021,666021,574586,4091,83047,271734,335378,99898,32451,57565,91263,0.4214,1330,443000,326244,2079,1199,880,22051,21276,5395,1,5,"49049","treated",NA,NA
"181","51047","Culpeper County, Virginia",52822,52822,37713,7070,6546,23397,35453,6226,2602,3752,92359,0.4128,1383,369600,25794,262,250,12,2220,1560,365,1,1,"51047","treated",NA,NA
"182","51059","Fairfax County, Virginia",1145354,1145354,620521,113057,189282,479017,782543,248678,185979,67901,145165,0.4323,2159,666900,610265,576,504,72,27077,10171,4008,1,22,"51059","treated",NA,NA
"183","51061","Fauquier County, Virginia",73290,73290,60832,4844,7224,32701,50357,12142,5486,4241,122785,0.4165,1468,501200,38689,685,643,42,3034,1087,534,1,1,"51061","treated",NA,NA
"184","51069","Frederick County, Virginia",92007,92007,79098,3902,9317,40378,64068,10918,5958,6114,92443,0.4042,1347,333600,44888,500,410,90,3691,2955,918,1,1,"51069","treated",NA,NA
"185","51087","Henrico County, Virginia",333120,333120,175515,98712,20442,143069,232800,62157,31376,27770,82424,0.4656,1380,309700,176922,379,227,152,9310,7271,2975,1,6,"51087","treated",NA,NA
"186","51107","Loudoun County, Virginia",420773,420773,241853,32190,58198,173164,272771,97356,60957,15706,170463,0.3919,2195,657000,228835,875,746,129,9458,6695,1890,1,199,"51107","treated",NA,NA
"187","51117","Mecklenburg County, Virginia",30367,30367,18941,10123,941,11464,22650,2959,1654,5508,51265,0.4766,784,157800,12561,242,193,49,797,999,250,1,1,"51117","treated",NA,NA
"188","51153","Prince William County, Virginia",481114,481114,241644,99551,120125,212429,308899,79259,45133,28768,123193,0.3921,1907,472000,247709,496,481,15,19634,4844,2381,1,58,"51153","treated",NA,NA
"189","51660","Harrisonburg city, Virginia",51784,51784,36781,3881,10762,21794,26275,5194,2878,12123,56050,0.4802,1060,263700,24694,291,291,0,1365,1850,356,1,1,"51660","treated",NA,NA
"190","51680","Lynchburg city, Virginia",79166,79166,49660,21824,3688,32544,44182,10012,4746,12033,56243,0.4484,972,196000,36550,129,60,69,1489,2560,283,1,2,"51680","treated",NA,NA
"191","53007","Chelan County, Washington",79076,79076,55416,401,22645,33844,54434,10471,3914,7212,71876,0.4542,1142,412300,37236,2860,2849,11,2432,1497,757,1,3,"53007","treated",NA,NA
"192","53017","Douglas County, Washington",43189,43189,27842,198,14400,18744,28706,4466,1253,3402,79422,0.4467,1181,366800,20627,2874,2840,34,1370,856,713,1,13,"53017","treated",NA,NA
"193","53025","Grant County, Washington",99145,99145,61533,1024,42453,39176,60723,7832,2254,14019,66387,0.4291,979,244500,43461,7635,7635,0,1975,3524,790,1,38,"53025","treated",NA,NA
"194","53033","King County, Washington",2254371,2254371,1325673,146998,228873,938586,1622636,519110,267894,187794,116340,0.4766,1950,761500,1238729,3709,3491,218,55235,71657,17110,1,15,"53033","treated",NA,NA
"195","53053","Pierce County, Washington",918993,918993,624753,65366,109492,398271,622204,117242,47157,77932,91486,0.42,1604,444600,438855,2192,1881,311,34157,30645,10059,1,3,"53053","treated",NA,NA
"196","53061","Snohomish County, Washington",828337,828337,570661,28662,91866,352191,580338,135876,53933,62171,104083,0.4204,1794,592800,425167,2053,1877,176,33313,43902,6032,1,3,"53061","treated",NA,NA
"197","53063","Spokane County, Washington",538711,538711,456827,10292,34750,216340,371538,76236,30159,64591,70394,0.4524,1123,331600,249238,1922,1600,322,15796,13483,6024,1,4,"53063","treated",NA,NA
"198","53067","Thurston County, Washington",294272,294272,223695,9218,29062,117292,208615,47084,21219,27142,88895,0.4066,1499,411700,134622,1756,1638,118,8881,5940,2196,1,1,"53067","treated",NA,NA
"199","53073","Whatcom County, Washington",226523,226523,181059,2091,22969,96984,152506,34017,15287,28469,77581,0.4463,1370,475000,111457,2233,1841,392,8110,8796,1576,1,1,"53073","treated",NA,NA
"200","54065","Morgan County, West Virginia",17237,17237,16289,27,331,7235,13060,1296,845,1808,61021,0.4028,742,212500,7791,168,102,66,1056,634,164,1,1,"54065","treated",NA,NA
"201","55021","Columbia County, Wisconsin",58272,58272,53933,976,2254,27417,41753,6969,2216,4266,79271,0.4023,911,243600,30765,724,689,35,2286,3685,666,1,1,"55021","treated",NA,NA
"202","55025","Dane County, Wisconsin",559891,559891,450875,28235,37996,266630,370892,120419,51939,59287,84297,0.4526,1268,342900,317881,2254,2195,59,13675,20610,5332,1,1,"55025","treated",NA,NA
"203","55077","Marquette County, Wisconsin",15619,15619,14746,74,600,6375,11727,1232,370,1616,59748,0.4062,773,189500,7032,313,306,7,547,922,78,1,1,"55077","treated",NA,NA
"204","55079","Milwaukee County, Wisconsin",933063,933063,506296,243518,150011,398009,620640,130326,53778,162787,59319,0.4729,1012,2e+05,452838,1553,1467,86,17583,47863,6575,1,3,"55079","treated",NA,NA
"205","55101","Racine County, Wisconsin",197068,197068,150173,21344,28478,86806,135029,25327,9872,21743,72658,0.4345,985,226500,96247,732,702,30,6390,13900,1722,1,1,"55101","treated",NA,NA
"206","55133","Waukesha County, Wisconsin",407290,407290,362828,6480,20929,187101,289847,90538,33328,19932,101639,0.442,1235,352600,217962,415,270,145,11402,28025,4734,1,1,"55133","treated",NA,NA
"207","56021","Laramie County, Wyoming",100316,100316,85134,2367,15560,46810,68410,13178,5764,8831,76282,0.439,1043,295800,48854,1172,530,642,3563,1312,911,1,14,"56021","treated",NA,NA
